'S	Z
BAIRNCO	B EH R N K OW
BALCOR	B AA L K AO R
BALUKAS	B AH L UW K AH Z
BANC	B AE NG K
BANCA	B AE NG K AH
BANCSHARES	B AE NG K SH EH R Z
BANKERS'	B AE NG K ER Z
BANKS'	B AE NG K S
BARENTS	B EH R AH N T S
BARNEY	B AA R N IY
BARRETT	B AE R IH T
BARTH	B AA R TH
BARTLETT	B AA R T L IH T
BASRA	B AA S R AH
BATUS	B AE T AH S
BAUR	B AW ER
BAUSCH	B AW SH
BEA	B IY AH
BEDKE	B EH D K IY
BEENEY	B IH N IY
BEHAVIOR	B IH HH EY V Y ER
BEIJING	B EY ZH IH NG
BEKAA	B AH K AA
BELGIQUE	B EH L JH IY K
BELLEVUE	B EH L V Y UW
BEM	B EH M
BENEDETTI	B EH N AH D EH T IY
BENZ	B EH N Z
BEREGOVOY	B EH R AH G OW V OY
BERMUDEZ	B ER M Y UW D EH Z
BESSEMER	B EH S AH M ER
BEUTEL	B Y UW T EH L
BIC	B IH K
BIDCO	B IH D K OW
BIDEN	B AY D AH N
BILZERIAN	B IH L Z EH R IY AH N
BIOTECH	B AY OW T EH K
BIOTECHNOLOGY	B AY OW T EH K N AA L AH JH IY
BIOTECHNOLOGY'S	B AY OW T EH K N AA L AH JH IY Z
BIRDIE	B ER D IY
BIRINYI	B IH R IY N Y IY
BIX	B IH K S
BJORN	B Y AO R N
BLAKELY	B L EY K L IY
BLASS	B L AE S
BOCA	B OW K AH
BOCK	B AA K
BOEING	B OW IH NG
BOESKY	B OW S K IY
BOESKY'S	B OW S K IY Z
BOFFO	B AO F OW
BOGLE	B OW G AH L
BOIES	B OY Z
BOKSEN	B AA K S AH N
BOLEN	B OW L AH N
BONIN	B OW N IH N
BORDEN	B AO R D AH N
BORDEN'S	B AO R D AH N Z
BOREN	B AO R AH N
BORG	B AO R G
BORK	B AO R K
BORK'S	B AO R K S
BOSKIN	B AA S K IH N
BOWATER	B OW W AO T ER
BOWEN	B OW AH N
BOZELL	B OW Z EH L
BOZELL'S	B OW Z EH L Z
BOZIAN	B OW Z IY AH N
BRADY	B R EY D IY
BREAN	B R IY N
BREITSCHWERDT	B R AY CH W ER T
BRESSER	B R EH S ER
BRITANNIA	B R IY T AA N IY AH
BRODY	B R OW D IY
BROKERS'	B R OW K ER Z
BRUNO'S	B R UW N OW Z
BRUYETTE	B R UW EH T
BUCHAREST	B AH K ER EH S T
BUICK	B Y UW IH K
BURMAH	B ER M AH
BURNUP	B ER N AH P
BUSHBY	B UH SH B IY
BYRD	B ER D
BYRNE	B ER N
BYTE	B AY T
C.'S	S IY Z
C.S	S IY Z
CA	K AH
CADWALLADER	K AE D W AO L AH D ER
CALDERA	K AE L D EH R AH
CALGARY	K AE L G ER IY
CALTON	K AE L T AH N
CAMILLE	K AA M IH L
CAMRO	K AE M R OW
CANDIDACY	K AE N D AH D AH S IY
CANDIDATES'	K AE N D AH D EY T S
CAO	K AW
CAPPY	K AE P IY
CARLO	K AA R L OW
CARLUCCI	K AA R L UW CH IY
CARNEGIE	K AA R N EY G IY
CARNEGIE'S	K AA R N EY G IY Z
CARNER	K AA R N ER
CARNES	K AA R N Z
CARO	K AA R OW
CARSEY	K AA R S IY
CASEY	K EY S IY
CASSEB	K AE S AH B
CAYNE	K EY N
CAYTON	K EY T AH N
CE	S
CEAUSESCU	CH AW CH EH S K UW
CECELIA	S IH S IY L Y AH
CENTERIOR	S EH N T IH R IY ER
CENTERRE	S EH N T EH R
CH	CH
CHAGALL	SH AH G AA L
CHALMERS	CH AE L M ER Z
CHANNELL	CH AE N AH L
CHANOS	CH EY N OW Z
CHATICHAI'S	CH AE T IH CH AY Z
CHEMLAWN	K EH M L AO N
CHEN	CH EH N
CHERNOBYL'S	CH ER N OW B AH L Z
CHEVROLET	CH EH V R AH L IH T
CHIAT	K AY AH T
CHIHUAHUA	CH AH W AA W AA
CHIKOS	CH IH K OW Z
CHILI'S	CH IH L IY Z
CHIRAC	CH IH R AE K
CHOI	CH OY
CHOONG	CH UW NG
CHRISTY	K R IH S T IY
CHRYSLER	K R AY S L ER
CHRYSLER'S	K R AY S L ER Z
CHUN	CH AH N
CHUN'S	CH AH N Z
CIGNA'S	S IH G N AH Z
CIPOLLONE	S IH P AH L OW N
CITIBANK	S IH T IY B AE NG K
CITICORP	S IH T IY K AO R P
CITICORP'S	S IH T IY K AO R P S
CITIZENRY	S IH T IH Z AH N R IY
CITIZENS'	S IH T IH Z AH N Z
CIUDAD	S IY UW D AE D
CK	K
CLA	K L AH
CLARIDGE	K L EH R IH JH
CLARKE	K L AA R K
CLEANUP	K L IY N AH P
CLIFTON	K L IH F T AH N
COC	K AA K
COCHAIRMAN	K OW CH EH R M AH N
COELHO	K OW EH L OW
COHEN	K OW AH N
COLBYS	K OW L B IY Z
COMMERCIALE	K AH M ER S IY AE L
COMMERZBANK	K AH M ER Z B AE NG K
COMMONALITY	K AA M AH N AE L IH T IY
COMPANIE	K AH M P AH N IY
COMPANIES'	K AH M P AH N IY Z
COMPUTRAC	K AH M P Y UW T R AE K
CONGRES	K AA NG G R AH S
CONISTON	K AA N AH S T AH N
CONNALLY	K AA N AH L IY
CONNERY	K AA N ER IY
CONSUMERS'	K AH N S UW M ER Z
COONEY	K UW N IY
COSBY	K AO Z B IY
COYNE	K OY N
CRAY	K R EY
CRAZIES	K R EY Z IY Z
CRESAP	K R EH S AH P
CROWE	K R OW
CULLINET	K AH L IH N IH T
CUOMO	K W OW M OW
CURTISS	K ER T IH S
CUSHMAN	K UH SH M AH N
CUSTOMERS'	K AH S T AH M ER Z
CYRUS	S AY R AH S
D	D IY
D'ESTAING	D AH S T EY NG
D.'S	D IY Z
D.S	D IY Z
DAE	D EY
DAHL	D AA L
DAIMLER	D EY M L ER
DALEY	D EY L IY
DALY	D EY L IY
DANA	D AE N AH
DANNEMEYER	D AE N AH M AY ER
DAPUZZO	D AA P UW Z OW
DARMAN	D AA R M AH N
DAVOS	D AA V OW S
DAYS'	D EY Z
DEAVER	D IY V ER
DEBACLE	D IH B AA K AH L
DEBARTOLOS	D IH B AA R T OW L OW Z
DEFERRALS	D IH F ER AH L Z
DEMERS	D IH M ER Z
DEMME	D EH M
DEMOCRATS'	D EH M AH K R AE T S
DEMPSEY	D EH M P S IY
DENG	D EH NG
DEREGULATION	D IY R EH G Y AH L EY SH AH N
DEREGULATORY	D IY R EH G Y AH L EY T ER IY
DEWEY	D UW IY
DIANE	D AY AE N
DIASONICS	D AY AH S AA N IH K S
DILEO	D IH L IY OW
DILLARD	D IH L ER D
DILLON	D IH L AH N
DIPLOMATS'	D IH P L AH M AE T S
DISNEY	D IH Z N IY
DISNEYLAND	D IH Z N IY L AE N D
DOERR	D AO R
DOFASCO	D AH F AE S K OW
DONIGER	D AA N IH G ER
DONORS'	D OW N ER Z
DORFMAN	D AO R F M AH N
DOUGHERTY	D OW ER T IY
DOW	D AW
DOWNEY	D AW N IY
DOWNEY'S	D AW N IY Z
DRAVO	D R AE V OW
DRESDNER	D R EH Z D N ER
DREXEL	D R EH K S AH L
DREXEL'S	D R EH K S AH L Z
DU	D UW
DUARTE	D W AA R T
DUARTE'S	D W AA R T S
DUBERSTEIN	D UW B ER S T IY N
DUKAKIS	D UW K AA K IH S
DUKAKIS'S	D UW K AA K IH S IH Z
DULUTH	D AH L UW TH
DUNN	D AH N
DUZAN	D UW Z AH N
DYAZIDE	D AY AH Z AY D
E.	IY
E.'S	IY Z
EA	IY
EDELL	EH D AH L
EDELMAN	EH D AH L M AH N
EDELSTEIN	EH D AH L S T IY N
EDISON	EH D IH S AH N
EDSEL	EH D S AH L
EE	IY
EISNER	AY S N ER
ELEVE	IH L EH V
ELISH	EH L IH SH
ELLIOTT	EH L IY AH T
EMPLOYEES'	IH M P L OY IY Z
EMULEX	EH M Y AH L AH K S
ENDOTRONICS	EH N D OW T R AA N IH K S
ENDOTRONICS'S	EH N D OW T R AA N IH K S IH Z
ENRIQUE	EH N R IY K
ENSKILDA	EH N S K IH L D AH
EPSTEIN	EH P S T IY N
EQUICOR	IH K W IH K AO R
ER	ER
ERENSEL	EH R IH N S AH L
ERICH	EH R IH K
ERIE	ER IY
ESCAMEZ	EH S K AA M EH Z
ETHAN	EH TH AH N
EURO	Y UH R OW
EUROBOND	Y UW R OW B AA N D
EUROBONDS	Y UW R OW B AA N D Z
EVANS	EH V AH N Z
EVIDEN	EH V AH D AH N
EX	EH K S
EXISITING	EH K S IH Z AH T IH NG
EXLEY	EH K S L IY
EXPANSIONIST	IH K S P AE N CH AH N IH S T
EXXON	EH K S AA N
EYLER	EY L ER
EZELL	AH Z EH L
FACADE	F AH S AA D
FAIRFAX	F EH R F AE K S
FALCIGNO	F AE L S IY N Y OW
FANNIE	F AE N IY
FARGO	F AA R G OW
FARKAS	F AA R K AH Z
FARRELL	F AA R EY L
FAYROUZ	F EY R UW Z
FE'S	F EY Z
FEDS	F EH D Z
FELDMUEHLE	F EH L D M Y UW L
FER	F ER
FERRARO	F ER AA R OW
FERRIS	F EH R IH S
FERVOR	F ER V ER
FIANCE	F IY AE N S
FIS	F IH S
FITTS	F IH T S
FITZWATER	F IH T S W AO T ER
FLA	F L AH
FLEISCHER	F L AY SH ER
FLEISHER	F L AY SH ER
FLUMENBAUM	F L UW M AH N B AW M
FOLEY	F OW L IY
FORBES	F AO R B Z
FORSTMANN	F AO R S T M AH N
FRANCAIS	F R AA N S EY
FREIMAN	F R AY M AH N
FRON	F R AH N
FUJITSU	F UW JH IY T S UW
FUJITSU'S	F UW JH IY T S UW Z
FULTON	F UH L T AH N
FUNARO	F UW N AA R OW
FUNARO'S	F UW N AA R OW Z
FYFFES	F AY F S
G	JH IY
G.'S	JH IY Z
GA	G AH
GAIL	G EY L
GALVESTON	G AE L V EH S T AH N
GANNON	G AE N AH N
GARCIA	G AA R S IY AH
GARVEY	G AA R V IY
GAZA	G AA Z AH
GENENTECH'S	JH EH N AH N T EH K S
GENGER	JH EH NG ER
GENLYTE	JH EH N L AY T
GEO	JH IY OW
GEPHARDT	G EH P HH AA R T
GERHARD	G ER HH AA R D
GETTY	G EH T IY
GETTY'S	G EH T IY Z
GHAFAR	G AO F ER
GIBBS	G IH B Z
GILLETTE	G IH L EH T
GILMARTIN	G IH L M AA R T IH N
GILROY	G IH L R OY
GINZA	G IH N Z AH
GIORDANO	JH AO R D AA N OW
GISCARD	ZH IH S K AA R D
GITTIS	G IH T IH S
GIULIANI	JH UW L IY AA N IY
GLASNOST	G L AE S N AA S T
GLENN	G L EH N
GLOBALLY	G L OW B AH L IY
GOLDWYN	G OW L D W IH N
GOLKAR	G OW L K AA R
GORBACHEV	G AO R B AH CH AO F
GORBACHEV'S	G AO R B AH CH AO F S
GORSUCH	G AO R S AH CH
GOTSCHAL	G AA CH AH L
GOTTESMAN	G AA T S M AH N
GOTTI	G AA T IY
GOVERMENT'S	G AH V ER M AH N T S
GOVETT	G AH V IH T
GRAMM	G R AE M
GRANTREE	G R AE N T R EY
GRANTREE'S	G R AE N T R IY Z
GRAUER	G R AW ER
GREENE	G R IY N
GRENFELL	G R EH N F AH L
GRETA	G R IY T AH
GUAM	G W AA M
GUANGDONG	G W AA NG D AO NG
GUCCI	G UW CH IY
GURNEY	G ER N IY
GUSTAVO	G UW S T AA V OW
GUTFREUND	G AH T F R EH N D
GYOHTEN	G Y OW T AH N
HAIG	HH EY G
HAIGH	HH EY
HAN	HH AE N
HANEMANN	HH EY N M AH N
HANLEY	HH AE N L IY
HARBORING	HH AA R B ER IH NG
HARCOURT	HH AA R K AO R T
HARIMA	HH AA R IY M AH
HARMON	HH AA R M AH N
HARNISCH	HH AA R N IH SH
HARVARD	HH AA R V ER D
HARVIE	HH AA R V IY
HAUPTFUHRER	HH AW P T F Y UH R ER
HAWKE	HH AO K
HEA	HH IY
HECCO	HH EH K OW
HECKERT	HH EH K ER T
HEFLIN	HH EH F L IH N
HELANE	HH AH L EY N
HELMUT	HH EH L M AH T
HENKEL	HH EH NG K AH L
HERCULES	HH ER K Y UW L Z
HERZFELD	HH ER Z F EH L D
HESS	HH EH S
HEWLETT	HH Y UW L IH T
HEZBOLLAH	HH EH Z B AA L AH
HIGBEE	HH IH G B IY
HIGGINS	HH IH G IH N Z
HIGHFALUTIN	HH AY F EH L UW T IH N
HINGHAM	HH IH NG HH AE M
HINZ	HH IH N Z
HIROSHI	HH IH R OW SH IY
HITLER	HH IH T L ER
HOARE	HH AO R
HOLDERS'	HH OW L D ER Z
HONASAN	HH AA N AH Z AH N
HONECKER	HH OW N EH K ER
HONOLULU	HH AA N AH L UW L UW
HOOPLA	HH UW P L AH
HORRENDOUS	HH AO R EH N D AH S
HORTON	HH AO R T AH N
HOWE	HH AW
HOWEVE	HH AW EH V
HU	HH UW
HUD	HH AH D
HUDSON	HH AH D S AH N
HUDSON'S	HH AH D S AH N Z
HUEY	HH Y UW IY
HUSSEIN	HH AH S EY N
HUSSEIN'S	HH AH S EY N Z
HUXTABLE	HH AH K S T AH B AH L
HYATT	HH AY AH T
HYPE	HH AY P
HYPOTHERMIA	HH AY P AH TH ER M IY AH
HYUNDAI	HH Y AH N D EY
I.	AY
IACOCCA	AY AH K OW K AH
ICAHN	AY K AA N
ICAHN'S	AY K AA N Z
IFS	IH F S
IJAZ	IY JH AA Z
IMELDA	IH M EH L D AH
IMMUNODEFICIENCY	IH M Y UW N OW D IH F IH SH AH N S IY
INACOMP	IH N AH K AA M P
INCREA	IH N K R IY
INDUSTRIELLE	IH N D AH S T R IY EH L
INFIGHTING	IH N F AY T IH NG
INSTALLMENTS	IH N S T AO L M AH N T S
INSTITUCIONAL	IH N S T IH T UW S IY AH N AE L
INSURERS'	IH N SH UH R ER Z
INTERCO	IH N T ER K OW
IOD	AY AH D
IOSIF	AY AH S IH F
IRWIN	ER W IH N
ISHIKAWAJIMA	IY SH IY K AA W AA JH IY M AH
ITAL	AY T AH L
JAFFRAY	JH AE F R EY
JAIME	HH AY M
JANNEY	JH AE N IY
JARUZELSKI	Y AE R AH Z EH L S K IY
JECTED	JH EH K T IH D
JENKINS	JH EH NG K IH N Z
JERUSALEM	JH ER UW S AH L AH M
JERUSALEM'S	JH ER UW S AH L AH M Z
JODI	JH OW D IY
JOLLA	JH AA L AH
JONES	JH OW N Z
JONG	JH AO NG
JOVANOVICH	JH OW V AE N AH V IH CH
JOYNES	JH OY N Z
JUAREZ	HH W AA R EH Z
JUNG	JH AH NG
K	K EY
KABUL	K AA B UH L
KAGLER	K AE G L ER
KANEGSBERG	K AE N AH G Z B ER G
KARL	K AA R L
KASPAROV	K AE S P ER AA V
KATO	K AA T OW
KATYN	K EY T AH N
KATZENBACH	K AE T S AH N B AA K
KAUAI	K AW AY
KAUFMAN	K AO F M AH N
KAVNER	K AE V N ER
KAWASAKI	K AA W AA S AA K IY
KEAN	K IY N
KEANE	K IY N
KED	K T
KEEFE	K IY F
KELLER'S	K EH L ER Z
KELLEY'S	K EH L IY Z
KELLNER	K EH L N ER
KELLOGG	K EH L AO G
KELLOGG'S	K EH L AO G Z
KENNEBUNKPORT	K EH N IH B AH NG K P AO R T
KENNEDY	K EH N AH D IY
KGORI	K AH G AO R IY
KHOMEINI	HH OW M EY N IY
KHRUSHCHEV	K R UW S CH AO F
KIELLEY	K IY L IY
KIICHI	K IY IY CH IY
KILLORY	K IH L ER IY
KIM	K IH M
KIMMELMAN	K IH M AH L M AH N
KINNOCK	K IH N AH K
KINSLEY	K IH N Z L IY
KINSLEY'S	K IH N Z L IY Z
KIPPUR	K IH P ER
KIRNAN	K ER N AH N
KIRSCHNER	K ER SH N ER
KITAJIMA	K IY T AH JH IY M AH
KLUGE	K L UW JH
KLUGE'S	K L UW JH IH Z
KOBREN	K AA B R AH N
KOCH	K AA K
KOMORI	K OW M AO R IY
KONICA	K AA N IH K AH
KOZLOFF	K AA Z L AO F
KRAVIS	K R AE V IH S
KROGER	K R OW G ER
KUAN	K W AA N
KUDLOW	K AH D L OW
KUKJE	K UW K JH EY
KURDISH	K ER D IH SH
KURDISTAN	K ER D IH S T AH N
KURDS	K ER D Z
KURIHARA	K UW R IH HH AA R AH
KYOCERA	K IY OW S EH R AH
L	EH L
L.'S	EH L Z
LABOR	L EY B ER
LAFALCE	L AA F AA L S
LAFEYETTE	L AA F IY EH T
LAREDO	L AA R EY D OW
LAROCHE	L AA R OW SH
LASZLO	L AE Z L OW
LAWYERLY	L AO Y ER L IY
LEAHY	L EY HH IY
LEAR	L IY ER
LEBOW	L AH B OW
LECH	L EH K
LEFEVRE	L AH F EY V ER
LEFF	L EH F
LEFRAK	L AH F R AE K
LEGISLATI	L EH JH AH S L EY T IY
LEHMAN	L EH M AH N
LEHMAN'S	L EH M AH N Z
LEHN	L EH N
LEIBLER	L IY B L ER
LENNANE	L EH N AH N
LEVINE	L EH V IH N
LICHTBLAU	L IH CH T B L AW
LICHTEN	L IH K T AH N
LIEBMANN	L IY B M AH N
LILCO	L IH L K OW
LIM	L IH M
LINDE	L IH N D
LIPOPROTEIN	L IH P OW P R OW T IY N
LIPPMANN	L IH P M AH N
LIU	L Y UW
LOCKE	L AA K
LOEWY	L OW IY
LOGO	L OW G OW
LOMB	L AA M
LOPEZ	L OW P EH Z
LORENZO	L AO R EH N Z OW
LORIMAR	L AO R AH M AA R
LOWRY	L AO R IY
LUBE	L UW B
LUCAS	L UW K AH Z
LUCE	L UW S
LUFKIN	L AH F K IH N
LUTHER	L UW TH ER
M.'S	EH M Z
M.S	EH M Z
MACCALLUM	M AH K AE L AH M
MACHO	M AA CH OW
MADISON	M AE D AH S AH N
MADISON'S	M AE D AH S AH N Z
MAE	M EY
MAGNIN	M AE G N IH N
MAGNITOGORSK	M AE G N IH T AH G AO R S K
MAHATHIR	M AE HH AH TH ER
MAHONEY	M AE HH AH N IY
MAKERS'	M EY K ER Z
MAKEUP	M EY K AH P
MAL	M AH L
MANA	M AE N AH
MANAFORT	M AE N AH F AO R T
MANAGUA	M AA N AA G W AH
MANEUVER	M AH N UW V ER
MANEUVERED	M AH N UW V ER D
MANEUVERING	M AH N UW V ER IH NG
MANUFACTURERS'	M AE N Y AH F AE K CH ER ER Z
MAQUILADORA	M AE K IY Y AH D AO R AH
MARC	M AA R K
MARCY	M AA R S IY
MARDER	M AA R D ER
MARGOSHES	M AA R G AO SH IH Z
MARKEL	M AA R K AH L
MARLIN	M AA R L IH N
MARTINEZ	M AA R T IY N EH Z
MARTINO	M AA R T IY N OW
MARVIN	M AA R V IH N
MATHES	M AE DH Z
MATSUSHITA	M AE T S UW SH IY T AH
MAUCHER	M AO CH ER
MAUDE	M AO D
MAUI	M AW IY
MAURER	M AO R ER
MCCABE	M AH K EY B
MCCALLUM	M AH K AE L AH M
MCCARTHY	M AH K AA R TH IY
MCCLAY	M AH K L EY
MCCLEMENTS	M AH K L EH M AH N T S
MCCONNELL	M AH K AA N AH L
MCCORMICK	M AH K AO R M IH K
MCCRACKEN	M AH K R AE K AH N
MCDERMOTT	M AH K D ER M AH T
MCDONALD	M AH K D AA N AH L D
MCDONALD'S	M AH K D AA N AH L D Z
MCDONNELL	M AH K D AA N AH L
MCFARLANE	M AH K F AA R L AH N
MCGEE	M AH G IY
MCGILL	M AH G IH L
MCGOVERN'S	M AH G AH V ER N Z
MCGOWAN	M AH G AW AH N
MCGRAW	M AH G R AO
MCGURN	M AH G ER N
MCMANUS	M AH K M AE N AH S
MCMILLIN	M AH K M IH L IH N
MCMORAN	M AH K M AO R AH N
MCNAY	M AH K N EY
MEDISGROUPS	M EH D IH S G R UW P S
MEESE	M IY S
MEESE'S	M IY S IH Z
MEGABYTE	M EH G AH B AY T
MELLON	M EH L AH N
MELVIN	M EH L V IH N
MEMBERS'	M EH M B ER Z
MEMORIES'	M EH M ER IY Z
MERCHANDISING	M ER CH AH N D AY Z IH NG
MEREDITH	M EH R IH D IH TH
MERLE	M ER AH L
MERRILL	M EH R AH L
MERRILL'S	M EH R IH L Z
MERRITT	M EH R IH T
MERTZ	M ER T S
MERVYN'S	M ER V IH N Z
MESSRS.	M IH S UW R Z
MEYER	M AY ER
MICHEL	M AY K AH L
MICRO	M AY K R OW
MICRO'S	M AY K R OW Z
MICROCHIP	M AY K R OW CH IH P
MICROPROCESSORS	M AY K R OW P R AA S EH S ER Z
MICROSOFT	M AY K R OW S AO F T
MIDAS	M IY D AH S
MIGNANELLI	M IY G N AA N EH L IY
MIKHAIL	M IH K EY L
MIKVA	M IH K V AH
MILLN	M IH L N
MINDANAO	M IH N D AH N AW
MINET	M IH N EH T
MINOLI	M IH N OW L IY
MINOXIDIL	M IH N AA K S IH D IH L
MIRO'S	M IH R OW Z
MISMATCH	M IH S M AE CH
MITCHELL	M IH CH AH L
MITSUBISHI	M IH T S UW B IY SH IY
MIYAZAWA	M IY Y AH Z AA W AH
MOBIL	M OW B AH L
MOHASCO	M AH HH AA S K OW
MOHR	M AO R
MOINES	M OY N Z
MOM	M AA M
MON	M AH N
MONOCLONAL	M AA N AH K L OW N AH L
MONTEDISON	M AA N T IY D AH S AH N
MONTGOMERY	M AA N T G AH M ER IY
MOORE	M UH R
MORAY	M AO R EY
MORENA	M AO R EY N AH
MORI	M AO R IY
MORTON	M AO R T AH N
MOSIER	M OW ZH ER
MOTOROLA	M OW T ER OW L AH
MOYNIHAN	M OY N IH HH AE N
MULFORD	M AH L F ER D
MULTIBILLION	M AH L T IY B IH L Y AH N
MULTIFAMILY	M AH L T IY F AE M L IY
MULTIMILLIONAIRE	M AH L T IY M IH L Y AH N EH R
MURASKY	M ER AA S K IY
MURDOCH	M ER D AA K
MURRAY	M ER IY
N	EH N
NABI	N AA B IY
NABISCO	N AH B IH S K OW
NANDAIME	N AE N D EY M
NASDAQ	N AE Z D AE K
NASHVILLE	N AE SH V IH L
ND	N D
NECO	N IY K OW
NEGS	N EH G Z
NEIGHBOR	N EY B ER
NEIGHBORHOOD	N EY B ER HH UH D
NEIGHBORS	N EY B ER Z
NEIMAN	N AY M AH N
NEOLIBERAL	N IY OW L IH B R AH L
NESTEA	N EH S T IY AH
NETWORKS'	N EH T W ER K S
NEUROPATHY	N UH R AO P AH TH IY
NIEHAUS	N IY HH AW S
NIKE	N AY K IY
NIKITA	N IH K IY T AH
NIKKEI	N IY K EY
NIKKO	N IY K OW
NIKKO'S	N IY K OW Z
NISBET	N IH Z B AH T
NISSAN	N IY S AH N
NIXDORF	N IH K S D AO R F
NIXDORF'S	N IH K S D AO R F S
NIXON	N IH K S AH N
NOMURA	N OW M UH R AH
NOMURA'S	N OW M UH R AH Z
NONETHELESS	N AA N EH TH L AH S
NORIEGA	N AO R IY EY G AH
NORTEK	N AO R T EH K
NORTHROP	N AO R TH R AH P
NOVAK	N OW V AE K
NOVICK	N AA V IH K
NOWAK	N OW V AE K
NUNN	N AH N
NYET	N Y EH T
NYMEX	N AY M EH K S
O'BRIEN	OW B R AY IH N
O'BRIEN'S	OW B R AY IH N Z
O'CONNELL	OW K AA N AH L
O'DONNELL	OW D AA N AH L
O'HARE	OW HH EH R
O'MALLEY	OW M AE L IY
O.	OW
O.S	OW Z
OBRINSKY	OW B R IH N S K IY
OBSER	AH B Z ER
OCALA	OW K AE L AH
ODOMETERS	OW D AA M AH T ER Z
OEHMEN	OW M AH N
OFFERE	AO F ER
OFFICALS	AH F IH K AH L Z
OFFS	AO F S
OGDEN	AA G D AH N
OGILVY	OW G AH L V IY
OKAMOTO	OW K AA M OW T OW
OLDS	OW L D Z
OLDSMOBILE	OW L D Z M OW B AH L
OLESTRA	AA L IH S T R AH
OLSHAN	OW L SH AH N
OLSON	OW L S AH N
OLSSON	OW L S AH N
OLSTEN	OW L S AH N
ONASSIS	OW N AE S IH S
ONGPIN	AA NG P IH N
OPPENHEIMER	AA P AH N HH AY M ER
ORLANDO	AO R L AE N D OW
ORLOFF	AO R L AO F
ORTEGA	AO R T EY G AH
OSHA'S	OW SH AH Z
OSTEOPOROSIS	AA S T IY AA P ER OW S AH S
OTAIBA	OW T EY B AH
OTIS	OW T IH S
P.'S	P IY Z
P.S	P IY Z
PAC	P AE K
PACKARD	P AE K ER D
PACKARD'S	P AE K ER D Z
PAINEWEBBER	P EY N W EH B ER
PAINEWEBBER'S	P EY N W EH B ER Z
PALO	P AA L OW
PANASONIC	P AE N AH S AA N IH K
PANEM	P AE N AH M
PAPANDREOU	P AA P AA N D R IY UW
PARTIDO	P AA R T IY D OW
PARTNERS'	P AA R T N ER Z
PELTZ	P EH L T S
PENNWALT	P EH N W AO L T
PENNZOIL	P EH N Z OY L
PENNZOIL'S	P EH N Z OY L Z
PENRIL	P EH N R IY L
PEPSI	P EH P S IY
PEPSICO	P EH P S IY K OW
PEREZ	P EH R EH Z
PERONI	P ER OW N IY
PEROT	P ER OW
PERRAULT	P EH R AO L T
PERRIN	P EH R IH N
PERSHING	P ER SH IH NG
PERSHINGS	P ER SH IH NG Z
PEWEX	P EH W EH K S
PFIZER	F AY Z ER
PIERRE	P IY EH R
PIL	P IH L
PILOTS'	P AY L AH T S
PILSON	P IH L S AH N
PINOCHET	P IH N AH SH EY
PLASMINOGEN	P L AE Z M IH N AH JH AH N
PLESSEY	P L EH S IY
POEHL	P OW L
POEHL'S	P OW L Z
POHANG	P OW HH AE NG
POINDEXTER	P OY N D EH K S T ER
POINDEXTER'S	P OY N D EH K S T ER Z
POLCE	P OW L S
POLK	P OW K
POLYSAR	P AA L IH S AA R
PONT	P AA N T
PORSCHE	P AO R SH
POSCO	P AA S K OW
